Time,Price,BuySell,Volume
09:45:56,14.82,S,600
09:45:56,14.82,S,300
09:45:56,14.82,S,100
09:45:56,14.82,S,500
09:45:56,14.82,S,200
09:45:56,14.82,S,1000
09:45:56,14.81,S,32300
09:46:01,14.85,B,300
09:46:04,14.85,B,100
09:46:06,14.85,B,1610
09:46:06,14.85,B,800
09:46:06,14.85,B,1000
09:46:06,14.85,B,500
09:46:06,14.86,B,700
09:46:06,14.86,B,390
09:46:08,14.85,B,500
09:46:08,14.85,B,300
09:46:08,14.86,B,610
09:46:08,14.86,B,8590
09:46:09,14.85,S,1000
09:46:16,14.84,B,9300
09:46:17,14.85,S,10000
09:46:20,14.86,B,200
09:46:22,14.85,S,7300
09:46:22,14.85,S,500
09:46:22,14.85,S,1000
09:46:23,14.85,B,6900
09:46:25,14.85,B,1000
09:46:27,14.85,B,200
09:46:29,14.83,S,1900
09:46:29,14.82,S,100
09:46:44,14.84,B,600
09:46:45,14.84,B,100
09:46:50,14.84,B,100
09:46:55,14.84,B,100
09:46:55,14.84,B,400
09:46:55,14.84,B,200
09:46:55,14.83,S,200
09:46:56,14.83,B,500
09:47:02,14.83,B,300
09:47:02,14.83,B,1500
09:47:02,14.83,B,100
09:47:02,14.83,B,100
09:47:03,14.83,B,400
09:47:03,14.84,B,2100
09:47:03,14.84,B,1100
09:47:06,14.85,B,100
09:47:07,14.84,S,5600
09:47:14,14.84,S,200
09:47:16,14.82,S,200
09:47:17,14.82,S,200
09:47:37,14.82,S,500
09:47:37,14.83,B,1000
09:47:40,14.82,S,500
09:47:42,14.83,B,100
09:47:42,14.83,B,11200
09:47:42,14.83,B,500
09:47:42,14.83,B,100
09:47:42,14.84,B,900
09:47:42,14.84,B,500
09:47:42,14.85,B,33000
09:47:42,14.85,B,1100
09:47:42,14.85,B,500
09:47:42,14.85,B,1300
09:47:43,14.85,S,100
09:47:43,14.85,S,300
09:47:47,14.85,S,500
09:47:55,14.84,B,800
09:47:55,14.83,S,1300
09:48:05,14.84,B,200
09:48:08,14.84,B,900
09:48:08,14.84,B,400
09:48:17,14.84,S,2000
09:48:21,14.84,S,700
09:48:21,14.83,S,7100
09:48:21,14.83,S,1000
09:48:21,14.83,S,2000
09:48:25,14.83,B,1000
09:48:25,14.83,B,5000
09:48:27,14.83,B,10000
09:48:32,14.83,B,100
09:48:32,14.83,B,2000
09:48:33,14.83,B,3300
09:48:40,14.83,B,1500
09:48:41,14.83,B,200
09:48:41,14.83,B,16100
09:48:41,14.83,B,600
09:48:41,14.83,B,1400
09:48:41,14.83,B,400
09:48:43,14.83,S,5400
09:48:49,14.84,B,3000
09:48:49,14.84,B,700
09:48:49,14.84,B,400
09:48:49,14.84,B,1000
09:48:49,14.85,B,5000
09:48:49,14.85,B,600
09:48:50,14.85,S,100
09:48:58,14.85,S,1300
09:48:59,14.85,S,200
09:49:00,14.85,S,20000
09:49:02,14.85,S,1000
09:49:17,14.85,S,700
09:49:18,14.85,S,3000
09:49:19,14.86,B,1000
09:49:19,14.86,B,5000
09:49:19,14.86,B,500
09:49:19,14.86,B,200
09:49:19,14.86,B,2000
09:49:19,14.86,B,500
09:49:19,14.86,B,100
09:49:19,14.86,B,500
09:49:19,14.86,B,200
09:49:19,14.87,B,1000
09:49:19,14.87,B,1500
09:49:19,14.87,B,10000
09:49:19,14.87,B,1000
09:49:19,14.87,B,2000
09:49:19,14.87,B,1000
09:49:19,14.87,B,500
09:49:19,14.87,B,500
09:49:19,14.87,B,500
09:49:19,14.87,B,600
09:49:19,14.87,B,900
09:49:19,14.88,B,20500
09:49:20,14.88,B,200
09:49:21,14.85,S,13000
09:49:21,14.83,S,12700
09:49:21,14.83,S,1000
09:49:21,14.83,S,1000
09:49:21,14.83,S,1000
09:49:21,14.83,S,300
09:49:21,14.83,S,200
09:49:25,14.83,B,8000
09:49:34,14.83,B,2000
09:49:34,14.83,B,3000
09:49:34,14.82,S,3500
09:49:34,14.82,S,1500
09:49:35,14.83,B,2300
09:49:39,14.83,B,100
09:49:43,14.83,B,400
09:49:44,14.83,B,1400
09:49:45,14.83,B,800
09:49:47,14.83,B,19200
09:49:47,14.83,B,3400
09:49:47,14.83,B,300
09:49:47,14.84,B,500
09:49:47,14.85,B,1000
09:49:47,14.85,B,8800
09:49:47,14.85,B,4900
09:49:47,14.85,B,600
09:49:47,14.85,B,200
09:49:48,14.85,S,100
09:49:49,14.85,S,500
09:49:50,14.85,S,500
09:49:51,14.85,S,800
09:49:57,14.85,S,100
09:50:00,14.85,S,600
09:50:06,14.85,S,2000
09:50:12,14.85,S,300
09:50:16,14.85,S,300
09:50:16,14.86,B,100
09:50:19,14.85,S,2200
09:50:30,14.85,S,2200
09:50:33,14.85,S,1500
09:50:33,14.85,S,100
09:50:46,14.85,B,100
09:50:46,14.85,B,1300
09:50:46,14.85,B,500
09:50:46,14.85,B,300
09:50:46,14.85,B,900
09:50:58,14.85,B,100
09:50:58,14.85,B,400
09:50:58,14.85,B,100
09:50:58,14.85,B,700
09:50:58,14.85,B,1000
09:50:59,14.86,B,800
09:50:59,14.85,S,500
09:51:00,14.85,S,300
09:51:02,14.86,B,300
09:51:02,14.86,B,4400
09:51:02,14.86,B,11210
09:51:02,14.86,B,400
09:51:02,14.86,B,290
09:51:08,14.86,B,410
09:51:08,14.86,B,600
09:51:08,14.86,B,2000
09:51:08,14.86,B,700
09:51:11,14.86,S,5300
09:51:12,14.87,B,100
09:51:14,14.86,S,1990
09:51:14,14.85,S,3210
09:51:21,14.85,S,14800
09:51:23,14.85,S,500
09:51:35,14.85,S,200
09:51:46,14.86,B,10000
09:51:46,14.86,B,1400
09:51:46,14.86,B,700
09:51:52,14.87,B,400
09:51:52,14.87,B,400
09:52:03,14.86,S,5100
09:52:03,14.86,S,4900
09:52:06,14.87,B,500
09:52:11,14.87,B,600
09:52:12,14.86,S,1600
09:52:16,14.86,S,2500
09:52:17,14.87,B,1700
09:52:18,14.87,B,500
09:52:18,14.87,B,400
09:52:18,14.87,B,100
09:52:29,14.86,S,1000
09:52:29,14.86,S,4000
09:52:34,14.86,S,100
09:52:34,14.86,S,1000
09:52:34,14.86,S,1000
09:52:34,14.86,S,500
09:52:35,14.86,B,1000
09:52:37,14.86,B,1000
09:52:40,14.85,S,2800
09:52:44,14.86,B,600
09:52:45,14.86,B,2300
09:52:52,14.86,B,1000
09:52:52,14.86,B,500
09:52:54,14.86,B,800
09:52:55,14.85,S,1000
09:53:14,14.85,S,100
09:53:14,14.85,S,500
09:53:18,14.86,B,200
09:53:18,14.86,B,100
09:53:18,14.86,B,700
09:53:21,14.86,B,1100
09:53:21,14.86,B,1000
09:53:21,14.86,B,2400
09:53:33,14.85,S,390
09:53:33,14.85,S,300
09:53:33,14.85,S,110
09:53:37,14.85,S,700
09:53:39,14.86,B,1000
09:53:42,14.85,S,4190
09:53:42,14.85,S,500
09:53:42,14.85,S,2000
09:53:42,14.85,S,500
09:53:42,14.85,S,500
09:53:42,14.85,S,200
09:53:42,14.85,S,1200
09:53:42,14.85,S,910
09:53:46,14.86,B,16700
09:53:46,14.86,B,1000
09:53:46,14.86,B,800
09:53:46,14.86,B,500
09:53:50,14.87,B,300
09:54:00,14.87,B,200
09:54:01,14.87,B,200
09:54:01,14.87,B,1000
09:54:01,14.87,B,1500
09:54:01,14.87,B,400
09:54:01,14.87,B,400
09:54:01,14.87,B,300
09:54:01,14.87,B,2000
09:54:01,14.87,B,600
09:54:01,14.87,B,600
09:54:01,14.87,B,100
09:54:01,14.87,B,4000
