date,open,close,low,high,volume,money,change
2013/12/4,2219.97,2251.76,2215.92,2260.87,15729294300,1.35E+11,0.013088763
2013/12/3,2196.82,2222.67,2193.25,2227.93,11350641000,1.01E+11,0.006930869
2013/12/2,2203.12,2207.37,2172.63,2231.92,17428199000,1.52E+11,-0.005914423
2013/11/29,2221.62,2220.5,2212.26,2224.94,10695905300,97834025505,0.000510054
2013/11/28,2204.38,2219.37,2202.62,2234.39,13445677700,1.20E+11,0.008315047
2013/11/27,2181.73,2201.07,2176.85,2207.62,11538441100,1.02E+11,0.008243884
2013/11/26,2184.33,2183.07,2176.18,2192.58,10046083000,84536640855,-0.00139151
2013/11/25,2186.06,2186.12,2181.42,2209.15,10828265500,96747311934,-0.004672693
2013/11/22,2206.47,2196.38,2188.77,2211.07,11386645700,1.02E+11,-0.004256118
2013/11/21,2197.01,2205.77,2177.74,2206.53,13724551600,1.20E+11,-0.000383846
2013/11/20,2201.47,2206.61,2186.64,2207.11,11896186100,1.05E+11,0.006150128
2013/11/19,2198.32,2193.13,2186.11,2203.3,12508230700,1.16E+11,-0.001863264
2013/11/18,2147.37,2197.22,2143.77,2198.32,15750271400,1.43E+11,0.028743901
2013/11/15,2100.9,2135.83,2100.79,2153.21,12589452000,1.13E+11,0.016815472
2013/11/14,2087.12,2100.51,2078.99,2102.38,8379937300,72089883154,0.00601789
2013/11/13,2117.89,2087.94,2086.01,2117.91,8825709400,73376066494,-0.018258187
2013/11/12,2110.72,2126.77,2108.4,2127.94,7944673100,67951266386,0.008201582
2013/11/11,2103.3,2109.47,2093.63,2117.28,6967829900,59934058729,0.001587749
2013/11/8,2120.92,2106.13,2103.51,2128.58,8309685900,70325214666,-0.01092937
2013/11/7,2136.63,2129.4,2119.19,2141.6,8184261000,70177472947,-0.004770502
2013/11/6,2149.39,2139.61,2138.78,2166.17,10048734400,86547130819,-0.00817387
2013/11/5,2139.84,2157.24,2124.85,2158.15,9190003100,77963321579,0.003538277
2013/11/4,2156.09,2149.63,2143.21,2160.58,7614794100,66305997105,3.35E-05
2013/11/1,2139.88,2149.56,2132.63,2157.31,8911847700,76271865039,0.00371122
2013/10/31,2155.51,2141.61,2137.47,2155.51,10806302000,88638835793,-0.008724519
2013/10/30,2126.69,2160.46,2121.84,2161.94,11964336200,95233751781,0.014843128
2013/10/29,2135.23,2128.86,2093.2,2163.66,14309281100,1.17E+11,-0.002345505
2013/10/28,2135.88,2133.87,2123.07,2140.96,8840132200,77889328547,0.000428513
2013/10/25,2163.69,2132.96,2122.68,2170.61,11392452000,99671699060,-0.01449276
2013/10/24,2178.82,2164.32,2159.87,2183.41,10300895300,90001867021,-0.008604709
2013/10/23,2213.27,2183.11,2177.73,2226.85,14634709000,1.26E+11,-0.012460125
2013/10/22,2227.34,2210.65,2204.24,2227.34,14913283100,1.35E+11,-0.008336933
2013/10/21,2198.11,2229.24,2190.39,2230.29,13669440800,1.24E+11,0.016162514
2013/10/18,2188.71,2193.78,2184.36,2203.29,10372463100,90814173242,0.002393374
2013/10/17,2201.71,2188.54,2183.25,2211.03,12676794400,1.13E+11,-0.002066506
2013/10/16,2228.11,2193.07,2183.4,2228.11,15463863700,1.38E+11,-0.018061155
2013/10/15,2237.93,2233.41,2221.14,2240.25,15372282500,1.39E+11,-0.001948813
2013/10/14,2232.22,2237.77,2226.4,2242.98,16598338600,1.52E+11,0.004320632
2013/10/11,2201.41,2228.15,2200.53,2228.87,15689217600,1.42E+11,0.016986858
2013/10/10,2214.41,2190.93,2186.48,2214.59,14977589600,1.37E+11,-0.009422322
2013/10/9,2191.39,2211.77,2185.18,2212.35,13087173700,1.18E+11,0.006173235
2013/10/8,2171.9,2198.2,2161.49,2200.02,12671020300,1.15E+11,0.010821897
2013/9/30,2167.73,2174.67,2165.16,2176.3,9281008100,88982759154,0.006776767
2013/9/27,2150.96,2160.03,2149.59,2165.78,10540178800,97811678182,0.001956574
2013/9/26,2192.23,2155.81,2154.72,2192.23,14041534600,1.26E+11,-0.01942493
2013/9/25,2206.23,2198.52,2193.72,2217.97,16021276200,1.44E+11,-0.004084201
